,codeset_id,concept_id,concept_set_name,is_most_recent_version,version,concept_name,archived
1816,535274723,26052,Charlson - Cancer,True,1,Primary malignant neoplasm of larynx,False
1938,535274723,28083,Charlson - Cancer,True,1,Primary malignant neoplasm of pharynx,False
2576,378462283,78987,Charlson - Mets,True,1,Secondary malignant neoplasm of urinary system,False
2668,535274723,80045,Charlson - Cancer,True,1,Primary malignant neoplasm of anus,False
2913,535274723,132832,Charlson - Cancer,True,1,Primary malignant neoplasm of inner aspect of lip,False
2946,535274723,132853,Charlson - Cancer,True,1,Lymphoid leukemia,False
3066,535274723,133154,Charlson - Cancer,True,1,Plasma cell leukemia,False
3100,535274723,133424,Charlson - Cancer,True,1,Primary malignant neoplasm of thyroid gland,False
3216,535274723,133969,Charlson - Cancer,True,1,Primary malignant neoplasm of vermilion border of lip,False
3378,535274723,134596,Charlson - Cancer,True,1,Lymphoid leukemia in remission,False
3445,535274723,135489,Charlson - Cancer,True,1,Primary malignant neoplasm of male breast,False
3560,535274723,135759,Charlson - Cancer,True,1,Sézary's disease of extranodal AND/OR solid organ site,False
3648,535274723,136655,Charlson - Cancer,True,1,"Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes",False
3900,535274723,140664,Charlson - Cancer,True,1,Sézary's disease of lymph nodes of multiple sites,False
3981,535274723,140958,Charlson - Cancer,True,1,Kaposi's sarcoma of palate,False
4119,535274723,141243,Charlson - Cancer,True,1,"Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes",False
4158,494981955,192240,Charlson - LiverMild,True,1,Chronic viral hepatitis B with hepatitis D,False
4304,220495690,192359,Charlson - Renal,True,1,Renal failure syndrome,False
4485,535274723,193418,Charlson - Cancer,True,1,Primary malignant neoplasm of spleen,False
4653,494981955,194417,Charlson - LiverMild,True,1,Hepatic infarction,False
4677,535274723,194589,Charlson - Cancer,True,1,Primary malignant neoplasm of biliary tract,False
4810,535274723,194876,Charlson - Cancer,True,1,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes",False
4917,535274723,195480,Charlson - Cancer,True,1,Primary malignant neoplasm of renal pelvis,False
4959,376881697,195834,Charlson - PVD,True,1,Atherosclerosis of renal artery,False
5057,535274723,196055,Charlson - Cancer,True,1,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb,False
5192,535274723,196359,Charlson - Cancer,True,1,Primary malignant neoplasm of uterine cervix,False
5264,494981955,196463,Charlson - LiverMild,True,1,Alcoholic cirrhosis,False
5542,652711186,197303,Charlson - Stroke,True,1,Monoplegia of dominant lower limb as a late effect of cerebrovascular accident,False
5767,220495690,197921,Charlson - Renal,True,1,Renal osteodystrophy,False
5810,535274723,198082,Charlson - Cancer,True,1,Overlapping malignant neoplasm of body of uterus,False
5910,535274723,198374,Charlson - Cancer,True,1,Nodular lymphoma of spleen,False
6180,535274723,200052,Charlson - Cancer,True,1,Primary malignant neoplasm of uterine adnexa,False
6207,535274723,200054,Charlson - Cancer,True,1,Primary malignant neoplasm of ureter,False
6395,535274723,201242,Charlson - Cancer,True,1,"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes",False
6485,535274723,201813,Charlson - Cancer,True,1,Mycosis fungoides of intra-abdominal lymph nodes,False
6616,220495690,252365,Charlson - Renal,True,1,Membranous glomerulonephritis,False
7094,535274723,254583,Charlson - Cancer,True,1,Kaposi's sarcoma of lung,False
7306,535274723,257503,Charlson - Cancer,True,1,Primary malignant neoplasm of main bronchus,False
7874,535274723,260336,Charlson - Cancer,True,1,Primary malignant neoplasm of glottis,False
7964,535274723,312846,Charlson - Cancer,True,1,Kaposi's sarcoma of lymph nodes,False
8220,535274723,313980,Charlson - Cancer,True,1,"Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites",False
8316,259495957,314666,Charlson - MI,True,1,Old myocardial infarction,False
8401,376881697,315558,Charlson - PVD,True,1,Atherosclerosis of arteries of the extremities,False
8441,535274723,315763,Charlson - Cancer,True,1,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites",False
8489,514953976,316452,Charlson - Pulmonary,True,1,Chronic respiratory condition due to fumes AND/OR vapors,False
8641,378462283,318096,Charlson - Mets,True,1,Secondary malignant neoplasm of lymph node,False
9325,403438288,321822,Charlson - DMcx,True,1,Peripheral vascular disorder due to diabetes mellitus,False
11206,403438288,376065,Charlson - DMcx,True,1,Disorder of nervous system due to type 2 diabetes mellitus,False
12175,403438288,376114,Charlson - DMcx,True,1,Severe nonproliferative retinopathy due to diabetes mellitus,False
12443,489555336,380393,Charlson - Paralysis,True,1,Monoplegia of upper limb affecting non-dominant side,False
12594,489555336,381548,Charlson - Paralysis,True,1,Monoplegia,False
12644,535274723,432271,Charlson - Cancer,True,1,Carcinoid tumor of ileum,False
13299,535274723,433976,Charlson - Cancer,True,1,Primary malignant neoplasm of temporal lobe,False
13530,535274723,434577,Charlson - Cancer,True,1,Primary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold,False
13567,535274723,434592,Charlson - Cancer,True,1,B-cell lymphoma (clinical),False
13845,535274723,434877,Charlson - Cancer,True,1,Hodgkin's disease of lymph nodes of axilla AND/OR upper limb,False
13967,514953976,434975,Charlson - Pulmonary,True,1,Malt-workers' lung,False
14052,535274723,435190,Charlson - Cancer,True,1,Primary malignant neoplasm of pyriform sinus,False
14245,535274723,435474,Charlson - Cancer,True,1,Primary malignant neoplasm of posterior hypopharyngeal wall,False
14316,535274723,435484,Charlson - Cancer,True,1,Primary malignant neoplasm of trigone of urinary bladder,False
